country,year,population,real_gdp,real_gdp_pc,le,hle,vsl,wtp_s,wtp_h,wtp,wtp_pc
European Union,2005,497.4,12269.6,24.666,78.49,67.9,4.341,8.582,0.705,9.287,18.671
European Union,2006,499.4,12698.3,25.428,78.78,68.12,4.475,6.126,0.922,7.048,14.113
European Union,2007,501.3,13098.9,26.129,78.98,68.29,4.598,6.577,0.995,7.572,15.104
European Union,2008,503.2,13182.9,26.199,79.2,68.47,4.61,7.42,0.892,8.312,16.519
European Union,2009,504.9,12609.7,24.975,79.44,68.67,4.395,8.546,0.54,9.085,17.995
European Union,2010,506.4,12893.3,25.463,79.73,68.89,4.481,7.463,0.115,7.578,14.965
European Union,2011,507.6,13132.8,25.874,79.99,69.09,4.553,4.25,-0.041,4.208,8.291
European Union,2012,508.6,13040.0,25.637,80.14,69.21,4.512,6.72,-0.079,6.641,13.056
European Union,2013,509.6,13035.9,25.58,80.36,69.38,4.501,6.492,-0.025,6.468,12.691
European Union,2014,510.6,13241.3,25.931,80.57,69.53,4.563,-0.955,-0.202,-1.158,-2.267
European Union,2015,511.6,13547.2,26.479,80.55,69.52,4.66,6.031,-0.13,5.902,11.535
European Union,2016,512.6,13819.3,26.96,80.73,69.64,4.744,2.686,-0.414,2.272,4.432
European Union,2017,513.6,14208.1,27.664,80.83,69.71,4.868,0.397,-0.928,-0.531,-1.034
European Union,2018,514.3,14501.6,28.196,80.85,69.71,4.962,1.224,-1.573,-0.349,-0.679
European Union,2019,514.7,14765.4,28.687,80.9,69.71,5.048,0.0,0.0,0.0,0.0
France,1990,57.8,1660.4,28.742,77.01,66.82,5.058,0.712,0.298,1.01,17.479
France,1991,58.0,1677.8,28.934,77.17,66.98,5.092,0.878,0.274,1.152,19.859
France,1992,58.2,1704.7,29.304,77.42,67.21,5.157,0.584,0.214,0.798,13.715
France,1993,58.3,1693.9,29.044,77.6,67.38,5.111,0.946,0.169,1.116,19.129
France,1994,58.5,1733.9,29.652,77.88,67.62,5.218,0.344,0.18,0.524,8.953
France,1995,58.6,1770.4,30.187,78.06,67.79,5.312,0.658,-0.029,0.628,10.711
France,1996,58.8,1795.4,30.513,78.26,67.95,5.37,1.404,-0.031,1.373,23.337
France,1997,59.1,1837.4,31.112,78.59,68.2,5.475,0.124,-0.071,0.054,0.907
France,1998,59.3,1903.3,32.094,78.65,68.24,5.648,0.74,-0.021,0.719,12.125
France,1999,59.6,1968.4,33.029,78.82,68.36,5.812,1.294,0.069,1.363,22.872
France,2000,59.9,2045.7,34.126,79.07,68.55,6.005,0.839,0.05,0.889,14.835
France,2001,60.3,2086.3,34.584,79.23,68.68,6.086,0.709,0.056,0.765,12.683
France,2002,60.7,2109.9,34.751,79.41,68.82,6.115,0.908,-0.029,0.879,14.474
France,2003,61.1,2127.3,34.809,79.62,68.98,6.126,3.032,0.111,3.143,51.43
France,2004,61.5,2187.5,35.555,80.21,69.42,6.257,1.153,0.052,1.205,19.579
France,2005,61.9,2223.9,35.9,80.45,69.61,6.318,1.494,0.136,1.63,26.314
France,2006,62.4,2278.4,36.533,80.73,69.83,6.429,1.334,0.247,1.582,25.361
France,2007,62.8,2333.6,37.183,80.98,70.04,6.543,0.777,0.275,1.052,16.766
France,2008,63.1,2339.6,37.061,81.12,70.17,6.522,0.764,0.253,1.018,16.122
France,2009,63.5,2272.3,35.801,81.26,70.3,6.3,1.143,0.167,1.311,20.648
France,2010,63.8,2316.6,36.311,81.47,70.47,6.39,1.207,0.022,1.229,19.263
France,2011,64.1,2367.4,36.922,81.71,70.66,6.497,0.886,-0.083,0.803,12.522
France,2012,64.4,2374.8,36.858,81.89,70.8,6.486,1.394,-0.091,1.303,20.216
France,2013,64.7,2388.5,36.892,82.14,70.98,6.492,1.675,-0.068,1.607,24.82
France,2014,65.1,2411.4,37.067,82.45,71.2,6.523,-0.212,-0.031,-0.243,-3.741
France,2015,65.3,2438.2,37.316,82.4,71.17,6.567,1.707,0.111,1.818,27.817
France,2016,65.6,2464.9,37.579,82.71,71.4,6.613,0.084,0.035,0.119,1.821
France,2017,65.8,2521.4,38.306,82.76,71.43,6.741,0.307,-0.034,0.273,4.149
France,2018,66.0,2568.4,38.901,82.81,71.47,6.846,-0.312,-0.127,-0.439,-6.644
France,2019,66.2,2615.8,39.51,82.76,71.41,6.953,0.0,0.0,0.0,0.0
Germany,1990,79.9,2341.2,29.286,75.48,65.62,5.154,1.232,-0.223,1.009,12.616
Germany,1991,80.4,2460.8,30.618,75.7,65.76,5.388,1.919,-0.195,1.725,21.457
Germany,1992,80.8,2508.1,31.03,76.02,65.99,5.46,0.896,-0.182,0.715,8.843
Germany,1993,81.2,2483.6,30.572,76.2,66.11,5.38,1.723,-0.09,1.633,20.097
Germany,1994,81.5,2543.0,31.186,76.48,66.31,5.488,1.719,0.08,1.799,22.057
Germany,1995,81.8,2582.3,31.58,76.74,66.52,5.557,1.649,0.078,1.727,21.121
Germany,1996,81.9,2603.1,31.77,77.01,66.73,5.591,2.326,0.204,2.53,30.877
Germany,1997,82.0,2649.7,32.295,77.37,67.01,5.683,2.159,0.222,2.382,29.027
Germany,1998,82.1,2703.1,32.915,77.7,67.28,5.792,2.068,0.17,2.237,27.243
Germany,1999,82.2,2754.1,33.502,77.99,67.5,5.896,2.12,0.106,2.227,27.085
Germany,2000,82.3,2834.3,34.432,78.28,67.73,6.059,1.964,-0.009,1.955,23.752
Germany,2001,82.4,2882.0,34.964,78.56,67.93,6.153,0.573,-0.09,0.483,5.859
Germany,2002,82.5,2876.3,34.863,78.66,68.0,6.135,0.973,-0.158,0.815,9.874
Germany,2003,82.5,2856.2,34.61,78.8,68.09,6.091,3.232,0.014,3.246,39.334
Germany,2004,82.5,2889.7,35.026,79.24,68.4,6.164,2.09,0.046,2.136,25.888
Germany,2005,82.4,2910.9,35.315,79.54,68.62,6.215,1.775,0.084,1.859,22.555
Germany,2006,82.3,3022.0,36.716,79.79,68.82,6.461,1.116,0.019,1.135,13.796
Germany,2007,82.2,3111.9,37.878,79.94,68.93,6.666,0.666,-0.018,0.649,7.894
Germany,2008,82.0,3141.8,38.325,80.06,69.02,6.744,1.021,-0.029,0.992,12.1
Germany,2009,81.8,2962.9,36.224,80.2,69.11,6.375,1.503,-0.036,1.467,17.94
Germany,2010,81.7,3086.7,37.8,80.41,69.26,6.652,1.321,-0.21,1.111,13.61
Germany,2011,81.6,3207.9,39.318,80.59,69.37,6.919,0.63,-0.414,0.216,2.645
Germany,2012,81.7,3221.3,39.428,80.71,69.45,6.938,-0.075,-0.519,-0.594,-7.272
Germany,2013,82.0,3235.4,39.468,80.72,69.43,6.946,1.769,-0.393,1.376,16.791
Germany,2014,82.4,3306.9,40.129,80.93,69.57,7.062,-1.027,-0.343,-1.371,-16.636
Germany,2015,82.9,3356.2,40.475,80.81,69.46,7.123,0.684,-0.179,0.506,6.1
Germany,2016,83.5,3431.1,41.103,80.87,69.5,7.233,1.096,-0.155,0.941,11.267
Germany,2017,84.1,3523.0,41.883,81.02,69.6,7.37,0.509,-0.064,0.445,5.291
Germany,2018,84.6,3561.3,42.089,81.09,69.64,7.407,0.338,-0.015,0.323,3.816
Germany,2019,84.9,3598.9,42.383,81.13,69.67,7.458,0.0,0.0,0.0,0.0
India,1990,855.6,465.2,0.544,57.47,49.25,0.096,0.08,0.004,0.085,0.099
India,1991,871.6,470.2,0.539,57.71,49.45,0.095,0.282,0.038,0.32,0.367
India,1992,887.9,495.9,0.559,57.98,49.66,0.098,0.964,0.058,1.022,1.151
India,1993,904.6,519.5,0.574,58.61,50.17,0.101,1.157,0.088,1.245,1.377
India,1994,921.8,554.1,0.601,59.27,50.69,0.106,1.023,0.146,1.169,1.268
India,1995,939.5,596.1,0.634,59.81,51.13,0.112,0.465,0.18,0.644,0.686
India,1996,957.6,641.1,0.669,60.17,51.45,0.118,-0.625,0.291,-0.334,-0.348
India,1997,976.0,667.0,0.683,60.05,51.43,0.12,0.354,0.328,0.683,0.7
India,1998,994.4,708.3,0.712,60.3,51.67,0.125,0.967,0.287,1.254,1.261
India,1999,1013.1,770.9,0.761,60.78,52.07,0.134,0.814,0.191,1.005,0.992
India,2000,1032.0,800.5,0.776,61.19,52.41,0.137,0.659,0.123,0.781,0.757
India,2001,1051.1,839.2,0.798,61.55,52.73,0.14,1.355,0.223,1.579,1.502
India,2002,1070.5,871.1,0.814,62.09,53.18,0.143,1.785,0.224,2.009,1.877
India,2003,1090.2,939.5,0.862,62.78,53.73,0.152,2.157,0.262,2.419,2.219
India,2004,1110.4,1014.0,0.913,63.54,54.31,0.161,0.294,0.252,0.546,0.492
India,2005,1130.8,1094.3,0.968,63.79,54.54,0.17,0.264,0.314,0.578,0.511
India,2006,1151.2,1182.5,1.027,64.04,54.79,0.181,0.449,0.448,0.897,0.779
India,2007,1171.5,1273.1,1.087,64.32,55.07,0.191,0.505,0.5,1.005,0.858
India,2008,1191.5,1312.4,1.101,64.6,55.35,0.194,2.593,0.44,3.033,2.546
India,2009,1211.5,1415.6,1.168,65.37,55.97,0.206,1.482,0.283,1.765,1.457
India,2010,1231.4,1535.9,1.247,65.88,56.37,0.22,0.68,0.201,0.881,0.715
India,2011,1250.8,1616.4,1.292,66.19,56.64,0.227,1.574,0.262,1.836,1.468
India,2012,1269.9,1704.6,1.342,66.66,57.04,0.236,1.26,0.28,1.54,1.213
India,2013,1288.5,1813.5,1.407,67.02,57.38,0.248,2.518,0.258,2.776,2.155
India,2014,1306.8,1947.8,1.491,67.72,57.96,0.262,1.033,0.18,1.213,0.929
India,2015,1324.6,2103.6,1.588,68.13,58.3,0.279,1.9,0.183,2.083,1.573
India,2016,1342.0,2277.3,1.697,68.85,58.89,0.299,1.526,0.112,1.639,1.221
India,2017,1358.8,2432.0,1.79,69.29,59.25,0.315,0.474,0.06,0.534,0.393
India,2018,1375.0,2590.9,1.884,69.45,59.39,0.332,1.426,0.168,1.594,1.159
India,2019,1390.7,2695.6,1.938,69.8,59.67,0.341,0.0,0.0,0.0,0.0
Indonesia,1990,185.4,269.9,1.456,62.25,54.34,0.256,0.218,0.053,0.271,1.465
Indonesia,1991,188.3,288.6,1.533,62.76,54.79,0.27,0.179,0.05,0.228,1.213
Indonesia,1992,191.2,307.3,1.608,63.22,55.21,0.283,0.204,0.051,0.255,1.332
Indonesia,1993,194.0,327.3,1.687,63.66,55.59,0.297,0.211,0.04,0.251,1.296
Indonesia,1994,196.8,352.0,1.788,64.07,55.96,0.315,0.21,0.048,0.259,1.314
Indonesia,1995,199.7,380.9,1.908,64.47,56.32,0.336,0.198,0.008,0.207,1.035
Indonesia,1996,202.5,410.7,2.028,64.89,56.67,0.357,0.12,0.016,0.136,0.672
Indonesia,1997,205.3,430.0,2.095,65.2,56.95,0.369,0.072,0.019,0.091,0.442
Indonesia,1998,208.0,373.5,1.795,65.41,57.14,0.316,0.049,0.021,0.071,0.339
Indonesia,1999,210.8,376.5,1.786,65.64,57.36,0.314,0.099,0.039,0.138,0.655
Indonesia,2000,213.6,395.0,1.849,65.95,57.64,0.325,0.121,0.072,0.193,0.904
Indonesia,2001,216.4,409.4,1.892,66.2,57.88,0.333,0.107,0.121,0.228,1.055
Indonesia,2002,219.2,427.8,1.952,66.44,58.14,0.343,0.108,0.126,0.234,1.068
Indonesia,2003,222.0,448.3,2.019,66.67,58.39,0.355,-2.025,0.069,-1.956,-8.808
Indonesia,2004,224.7,470.8,2.095,65.18,57.21,0.369,2.343,0.094,2.437,10.844
Indonesia,2005,227.4,497.6,2.188,67.18,58.91,0.385,0.031,0.054,0.085,0.375
Indonesia,2006,230.2,525.0,2.281,67.36,59.1,0.401,0.242,0.081,0.323,1.402
Indonesia,2007,232.9,558.3,2.397,67.68,59.4,0.422,0.194,0.082,0.276,1.187
Indonesia,2008,235.5,591.9,2.513,67.93,59.64,0.442,0.185,0.071,0.257,1.09
Indonesia,2009,238.2,619.3,2.6,68.17,59.87,0.458,0.262,0.042,0.304,1.277
Indonesia,2010,240.7,657.8,2.733,68.46,60.13,0.481,0.296,0.012,0.307,1.277
Indonesia,2011,243.2,698.4,2.872,68.78,60.4,0.505,0.297,-0.007,0.29,1.191
Indonesia,2012,245.6,740.5,3.016,69.04,60.62,0.531,0.317,-0.011,0.306,1.245
Indonesia,2013,247.9,781.7,3.154,69.26,60.81,0.555,0.33,-0.01,0.32,1.291
Indonesia,2014,250.0,820.8,3.283,69.51,61.01,0.578,0.351,-0.002,0.35,1.398
Indonesia,2015,252.1,860.9,3.414,69.73,61.2,0.601,0.396,-0.005,0.39,1.548
Indonesia,2016,254.1,904.2,3.558,70.03,61.44,0.626,0.378,-0.016,0.362,1.423
Indonesia,2017,256.0,950.0,3.711,70.25,61.61,0.653,0.348,-0.086,0.262,1.025
Indonesia,2018,257.8,999.2,3.876,70.48,61.79,0.682,0.588,-0.161,0.427,1.656
Indonesia,2019,259.5,1049.3,4.044,70.79,62.01,0.712,0.0,0.0,0.0,0.0
Iran (Islamic Republic of),1990,58.5,187.9,3.21,65.14,56.44,0.565,1.019,0.052,1.07,18.286
Iran (Islamic Republic of),1991,58.9,211.2,3.583,67.24,58.18,0.63,0.135,0.035,0.17,2.887
Iran (Islamic Republic of),1992,58.8,217.2,3.696,67.62,58.52,0.65,0.102,0.03,0.132,2.245
Iran (Islamic Republic of),1993,59.4,219.5,3.696,68.02,58.88,0.65,0.138,0.032,0.17,2.856
Iran (Islamic Republic of),1994,60.4,216.2,3.58,68.47,59.28,0.63,0.12,0.027,0.147,2.434
Iran (Islamic Republic of),1995,61.4,221.2,3.6,68.86,59.62,0.633,0.117,0.02,0.137,2.222
Iran (Islamic Republic of),1996,62.5,232.7,3.72,69.25,59.96,0.655,0.041,0.019,0.06,0.961
Iran (Islamic Republic of),1997,63.7,233.8,3.668,69.49,60.18,0.646,0.175,0.029,0.204,3.198
Iran (Islamic Republic of),1998,65.0,238.9,3.674,69.97,60.6,0.647,0.102,0.023,0.125,1.923
Iran (Islamic Republic of),1999,66.3,241.1,3.639,70.31,60.9,0.64,0.12,0.014,0.134,2.025
Iran (Islamic Republic of),2000,67.3,255.1,3.791,70.67,61.2,0.667,0.098,-0.001,0.097,1.439
Iran (Islamic Republic of),2001,68.2,257.3,3.773,70.99,61.46,0.664,0.129,-0.004,0.125,1.832
Iran (Islamic Republic of),2002,69.2,276.1,3.992,71.36,61.76,0.702,-0.519,-0.065,-0.584,-8.447
Iran (Islamic Republic of),2003,70.2,300.1,4.272,70.69,61.17,0.752,0.904,0.005,0.909,12.937
Iran (Islamic Republic of),2004,71.2,313.3,4.4,72.11,62.31,0.774,0.238,-0.009,0.229,3.211
Iran (Islamic Republic of),2005,72.0,323.3,4.487,72.53,62.64,0.79,0.263,-0.006,0.257,3.566
Iran (Islamic Republic of),2006,72.9,339.4,4.653,72.98,62.99,0.819,0.312,-0.008,0.304,4.165
Iran (Islamic Republic of),2007,73.9,367.1,4.967,73.46,63.36,0.874,0.313,-0.011,0.302,4.084
Iran (Islamic Republic of),2008,74.9,368.0,4.914,73.9,63.68,0.865,0.267,-0.01,0.257,3.426
Iran (Islamic Republic of),2009,75.8,371.8,4.905,74.27,63.97,0.863,0.263,-0.008,0.254,3.357
Iran (Islamic Republic of),2010,76.6,393.3,5.136,74.64,64.25,0.904,0.265,-0.007,0.258,3.375
Iran (Islamic Republic of),2011,77.4,403.7,5.216,75.01,64.53,0.918,0.198,-0.003,0.194,2.512
Iran (Islamic Republic of),2012,78.3,373.7,4.773,75.32,64.77,0.84,0.081,0.0,0.081,1.038
Iran (Islamic Republic of),2013,79.2,372.9,4.707,75.55,64.97,0.828,0.049,0.0,0.05,0.626
Iran (Islamic Republic of),2014,80.1,390.1,4.868,75.85,65.22,0.857,-0.027,-0.004,-0.03,-0.375
Iran (Islamic Republic of),2015,81.0,385.0,4.753,76.16,65.5,0.836,0.108,0.004,0.111,1.375
Iran (Islamic Republic of),2016,81.9,436.5,5.333,76.69,65.95,0.938,0.085,-0.002,0.083,1.015
Iran (Islamic Republic of),2017,82.7,452.9,5.476,76.98,66.18,0.964,0.168,-0.012,0.156,1.886
Iran (Islamic Republic of),2018,83.5,425.6,5.096,77.27,66.41,0.897,0.12,-0.003,0.116,1.395
Iran (Islamic Republic of),2019,84.3,396.7,4.706,77.5,66.6,0.828,0.0,0.0,0.0,0.0
Israel,1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Israel,1995,5.7,139.6,24.602,77.6,67.6,4.329,0.059,-0.004,0.055,9.702
Israel,1996,5.8,148.0,25.439,77.78,67.73,4.477,0.078,0.005,0.083,14.314
Israel,1997,6.0,153.8,25.798,78.02,67.93,4.54,0.055,0.006,0.061,10.184
Israel,1998,6.1,160.3,26.251,78.23,68.11,4.62,0.104,0.007,0.111,18.135
Israel,1999,6.2,166.0,26.566,78.51,68.33,4.675,0.085,0.002,0.087,13.873
Israel,2000,6.4,180.8,28.278,78.71,68.48,4.976,0.095,-0.005,0.09,14.061
Israel,2001,6.5,181.0,27.688,78.87,68.57,4.872,-0.014,-0.009,-0.024,-3.66
Israel,2002,6.7,180.6,27.04,78.73,68.43,4.758,0.205,-0.001,0.203,30.44
Israel,2003,6.8,182.7,26.772,79.33,68.9,4.711,0.163,0.0,0.163,23.901
Israel,2004,7.0,191.7,27.513,79.75,69.22,4.842,0.149,-0.0,0.149,21.364
Israel,2005,7.1,199.7,28.088,80.15,69.54,4.943,0.091,-0.008,0.083,11.658
Israel,2006,7.3,211.2,29.129,80.29,69.61,5.126,0.145,-0.007,0.138,19.069
Israel,2007,7.4,224.1,30.302,80.66,69.9,5.332,0.139,-0.01,0.129,17.474
Israel,2008,7.5,231.8,30.736,80.88,70.02,5.409,0.2,-0.003,0.196,26.029
Israel,2009,7.7,234.5,30.475,81.27,70.31,5.363,0.23,0.013,0.243,31.549
Israel,2010,7.8,247.8,31.573,81.81,70.75,5.556,0.053,0.016,0.069,8.828
Israel,2011,8.0,261.5,32.676,81.93,70.86,5.75,0.128,0.03,0.158,19.691
Israel,2012,8.2,268.9,32.954,82.16,71.06,5.799,0.12,0.033,0.152,18.682
Israel,2013,8.3,281.8,33.873,82.39,71.26,5.961,-0.169,0.013,-0.155,-18.677
Israel,2014,8.5,293.4,34.609,81.88,70.83,6.09,0.332,0.038,0.371,43.709
Israel,2015,8.6,300.1,34.738,82.63,71.49,6.113,0.139,0.05,0.189,21.857
Israel,2016,8.8,313.5,35.61,82.84,71.67,6.267,0.042,0.044,0.086,9.772
Israel,2017,9.0,327.2,36.47,82.92,71.77,6.418,-0.063,-0.005,-0.068,-7.633
Israel,2018,9.1,340.2,37.218,82.85,71.72,6.55,0.021,-0.027,-0.006,-0.621
Israel,2019,9.3,353.1,37.925,82.91,71.74,6.674,0.0,0.0,0.0,0.0
Italy,1990,56.8,1558.6,27.441,76.93,66.16,4.829,0.448,0.136,0.583,10.27
Italy,1991,56.8,1582.6,27.882,77.02,66.23,4.907,1.094,0.152,1.247,21.965
Italy,1992,56.7,1595.8,28.139,77.3,66.44,4.952,0.841,0.149,0.989,17.446
Italy,1993,56.6,1582.2,27.93,77.57,66.67,4.915,0.629,0.144,0.773,13.641
Italy,1994,56.6,1616.2,28.569,77.77,66.84,5.028,0.981,0.199,1.18,20.854
Italy,1995,56.5,1662.9,29.431,78.03,67.06,5.179,1.074,0.18,1.254,22.201
Italy,1996,56.5,1683.9,29.828,78.31,67.29,5.249,1.019,0.224,1.243,22.019
Italy,1997,56.4,1714.8,30.381,78.62,67.57,5.346,0.435,0.214,0.649,11.498
Italy,1998,56.5,1745.8,30.919,78.8,67.74,5.441,1.255,0.253,1.508,26.711
Italy,1999,56.5,1774.2,31.384,79.12,68.02,5.523,1.544,0.239,1.783,31.538
Italy,2000,56.7,1841.4,32.497,79.5,68.33,5.719,1.393,0.165,1.558,27.495
Italy,2001,56.9,1877.3,33.017,79.8,68.58,5.81,0.867,0.103,0.97,17.065
Italy,2002,57.1,1882.1,32.955,80.02,68.77,5.799,0.358,0.014,0.373,6.524
Italy,2003,57.4,1884.7,32.815,80.15,68.88,5.775,2.192,0.149,2.342,40.769
Italy,2004,57.9,1911.5,33.038,80.62,69.24,5.814,1.085,0.167,1.252,21.634
Italy,2005,58.3,1927.2,33.046,80.88,69.46,5.815,1.313,0.267,1.581,27.106
Italy,2006,58.8,1961.7,33.386,81.16,69.69,5.875,0.833,0.313,1.146,19.51
Italy,2007,59.2,1990.8,33.634,81.35,69.87,5.919,0.705,0.32,1.025,17.317
Italy,2008,59.6,1971.7,33.072,81.52,70.03,5.82,0.726,0.279,1.005,16.855
Italy,2009,60.0,1867.6,31.122,81.68,70.18,5.477,1.207,0.207,1.413,23.552
Italy,2010,60.3,1899.6,31.487,81.98,70.42,5.541,0.575,0.186,0.761,12.614
Italy,2011,60.6,1913.0,31.585,82.13,70.55,5.558,0.547,0.292,0.84,13.861
Italy,2012,60.7,1856.0,30.57,82.27,70.7,5.38,1.093,0.323,1.416,23.324
Italy,2013,60.8,1821.8,29.972,82.52,70.92,5.274,0.816,0.268,1.083,17.823
Italy,2014,60.8,1821.7,29.963,82.73,71.11,5.273,-0.387,0.08,-0.307,-5.051
Italy,2015,60.8,1835.9,30.212,82.65,71.08,5.317,1.246,-0.11,1.136,18.687
Italy,2016,60.7,1859.6,30.641,82.93,71.26,5.392,0.305,-0.209,0.097,1.591
Italy,2017,60.6,1890.7,31.203,83.02,71.28,5.491,-0.158,-0.299,-0.458,-7.553
Italy,2018,60.5,1908.2,31.558,82.99,71.22,5.553,0.081,-0.504,-0.423,-6.991
Italy,2019,60.3,1916.0,31.767,83.02,71.17,5.59,0.0,0.0,0.0,0.0
Japan,1990,125.9,3520.2,27.967,79.31,69.39,4.922,1.403,0.597,2.0,15.892
Japan,1991,126.3,3640.5,28.833,79.49,69.55,5.074,1.208,0.554,1.762,13.952
Japan,1992,126.6,3671.3,28.991,79.62,69.68,5.102,1.575,0.493,2.068,16.332
Japan,1993,127.0,3652.3,28.761,79.79,69.84,5.061,2.667,0.441,3.108,24.473
Japan,1994,127.3,3688.6,28.967,80.09,70.09,5.098,0.362,0.305,0.667,5.237
Japan,1995,127.7,3785.6,29.653,80.14,70.15,5.218,4.245,0.158,4.403,34.486
Japan,1996,128.0,3904.3,30.511,80.61,70.5,5.369,2.744,-0.064,2.679,20.938
Japan,1997,128.3,3942.6,30.738,80.9,70.71,5.409,0.485,-0.216,0.269,2.095
Japan,1998,128.5,3892.5,30.281,80.94,70.72,5.329,0.902,-0.146,0.757,5.886
Japan,1999,128.8,3879.5,30.122,81.06,70.8,5.301,3.796,0.104,3.9,30.281
Japan,2000,129.0,3986.8,30.898,81.48,71.11,5.437,3.177,0.237,3.415,26.463
Japan,2001,129.3,4002.1,30.963,81.82,71.37,5.449,2.587,0.268,2.855,22.09
Japan,2002,129.5,4003.8,30.927,82.09,71.59,5.442,1.118,0.216,1.334,10.304
Japan,2003,129.6,4065.3,31.36,82.21,71.7,5.519,1.495,0.26,1.754,13.531
Japan,2004,129.8,4154.2,32.014,82.37,71.84,5.634,0.36,0.22,0.58,4.473
Japan,2005,129.8,4229.1,32.57,82.42,71.9,5.731,2.368,0.412,2.78,21.407
Japan,2006,129.9,4287.1,32.998,82.66,72.1,5.807,1.773,0.584,2.357,18.142
Japan,2007,130.0,4350.8,33.468,82.85,72.27,5.89,1.562,0.65,2.212,17.018
Japan,2008,130.0,4297.5,33.045,83.0,72.42,5.815,1.716,0.554,2.27,17.457
Japan,2009,130.1,4052.8,31.159,83.18,72.59,5.483,0.524,0.26,0.784,6.028
Japan,2010,130.0,4218.9,32.441,83.25,72.66,5.709,-1.176,-0.1,-1.276,-9.813
Japan,2011,130.0,4219.9,32.471,83.12,72.56,5.714,3.678,-0.144,3.534,27.195
Japan,2012,129.8,4277.9,32.952,83.54,72.87,5.799,2.136,-0.287,1.849,14.239
Japan,2013,129.7,4363.7,33.656,83.77,73.03,5.923,2.304,-0.277,2.027,15.632
Japan,2014,129.5,4376.6,33.808,84.01,73.19,5.949,2.259,-0.125,2.133,16.479
Japan,2015,129.2,4444.9,34.397,84.25,73.36,6.053,1.458,-0.234,1.224,9.474
Japan,2016,128.9,4478.4,34.732,84.41,73.45,6.112,2.295,-0.149,2.146,16.641
Japan,2017,128.6,4553.5,35.405,84.64,73.61,6.23,0.362,0.607,0.969,7.534
Japan,2018,128.2,4578.9,35.709,84.68,73.67,6.284,0.171,1.304,1.475,11.501
Japan,2019,127.8,4591.3,35.929,84.7,73.77,6.323,0.0,0.0,0.0,0.0
Kenya,1990,23.2,30.4,1.312,60.21,52.57,0.231,-0.108,-0.018,-0.126,-5.43
Kenya,1991,23.9,30.9,1.29,59.33,51.79,0.227,-0.133,-0.019,-0.152,-6.331
Kenya,1992,24.7,30.6,1.241,58.24,50.83,0.218,-0.137,-0.018,-0.154,-6.245
Kenya,1993,25.4,30.7,1.208,57.18,49.9,0.213,-0.136,-0.016,-0.152,-5.963
Kenya,1994,26.2,31.5,1.203,56.13,48.98,0.212,-0.115,-0.013,-0.128,-4.885
Kenya,1995,27.0,32.9,1.22,55.36,48.31,0.215,-0.114,-0.014,-0.128,-4.732
Kenya,1996,27.8,34.3,1.235,54.65,47.7,0.217,-0.112,-0.012,-0.124,-4.452
Kenya,1997,28.6,34.5,1.206,53.97,47.12,0.212,-0.082,-0.008,-0.089,-3.122
Kenya,1998,29.4,35.6,1.211,53.56,46.77,0.213,-0.045,-0.004,-0.05,-1.691
Kenya,1999,30.2,36.4,1.205,53.43,46.66,0.212,-0.032,-0.001,-0.033,-1.078
Kenya,2000,31.1,36.6,1.179,53.47,46.72,0.207,-0.003,0.004,0.001,0.03
Kenya,2001,31.9,38.0,1.19,53.63,46.88,0.209,-0.001,0.009,0.008,0.254
Kenya,2002,32.8,38.2,1.165,53.79,47.06,0.205,0.012,0.012,0.024,0.726
Kenya,2003,33.7,39.3,1.166,54.04,47.31,0.205,0.067,0.016,0.082,2.436
Kenya,2004,34.7,41.4,1.193,54.57,47.81,0.21,0.12,0.016,0.136,3.918
Kenya,2005,35.6,43.8,1.23,55.38,48.52,0.216,0.164,0.024,0.188,5.283
Kenya,2006,36.6,46.6,1.275,56.36,49.39,0.224,0.183,0.033,0.216,5.894
Kenya,2007,37.6,49.8,1.326,57.44,50.35,0.233,0.154,0.034,0.188,4.997
Kenya,2008,38.6,49.9,1.294,58.32,51.15,0.228,0.178,0.04,0.218,5.651
Kenya,2009,39.6,51.6,1.302,59.29,52.04,0.229,0.153,0.023,0.176,4.433
Kenya,2010,40.7,55.7,1.37,60.15,52.79,0.241,0.147,0.017,0.164,4.032
Kenya,2011,41.7,58.6,1.404,60.93,53.48,0.247,0.137,0.011,0.148,3.551
Kenya,2012,42.8,61.3,1.432,61.64,54.09,0.252,0.108,0.007,0.114,2.672
Kenya,2013,43.9,63.6,1.45,62.21,54.58,0.255,0.115,0.006,0.121,2.761
Kenya,2014,44.9,66.8,1.487,62.8,55.08,0.262,0.143,0.011,0.155,3.444
Kenya,2015,46.0,70.1,1.525,63.49,55.67,0.268,0.156,0.002,0.157,3.418
Kenya,2016,47.1,73.1,1.553,64.21,56.27,0.273,0.122,-0.002,0.12,2.544
Kenya,2017,48.1,75.9,1.577,64.81,56.76,0.277,0.092,0.003,0.095,1.976
Kenya,2018,49.2,80.1,1.63,65.29,57.16,0.287,0.074,0.012,0.085,1.733
